gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,distance,schoolStatsLink
14,Frank Otis Elementary School,public,K-5,593.0,7.0,4.0,Alameda,CA,1,Alameda Unified School District,601770,"3010 Fillmore Street, 
Alameda, CA  94501",(510) 748-4013,(510) 523-6880,http://otis.alamedausd.ca.schoolloop.com,60177000054.0,37.75403,-122.23799,https://www.greatschools.org/california/alameda/14-Frank-Otis-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/14-Frank-Otis-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/14-Frank-Otis-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,3.42,https://www.greatschools.org/california/alameda/14-Frank-Otis-Elementary-School/?utm_source=GSAPI&utm_medium=referral
15,William G. Paden Elementary School,public,K-5,297.0,6.0,4.0,Alameda,CA,1,Alameda Unified School District,601770,"444 Central Avenue, 
Alameda, CA  94501",(510) 748-4014,(510) 865-9427,http://paden.alamedausd.ca.schoolloop.com,60177000003.0,37.771564,-122.28446000000001,https://www.greatschools.org/california/alameda/15-William-G.-Paden-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/15-William-G.-Paden-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/15-William-G.-Paden-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,1.87,https://www.greatschools.org/california/alameda/15-William-G.-Paden-Elementary-School/?utm_source=GSAPI&utm_medium=referral
17,Will C. Wood Middle School,public,6-8,468.0,7.0,4.0,Alameda,CA,1,Alameda Unified School District,601770,"420 Grand Street, 
Alameda, CA  94501",(510) 748-4015,(510) 523-8829,http://wms.alamedausd.ca.schoolloop.com,60177000057.0,37.76303,-122.26191999999999,https://www.greatschools.org/california/alameda/17-Will-C.-Wood-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/17-Will-C.-Wood-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/17-Will-C.-Wood-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,3.66,https://www.greatschools.org/california/alameda/17-Will-C.-Wood-Middle-School/?utm_source=GSAPI&utm_medium=referral
19,Albany High School,public,9-12,1210.0,9.0,4.0,Albany,CA,2,Albany City Unified School District,601860,"603 Key Route Boulevard, 
Albany, CA  94706",(510) 558-2500,(510) 559-6584,http://ahs.ausdk12.org/,60186000059.0,37.89666,-122.29257,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,0.62,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral
20,Albany Middle School,public,6-8,895.0,9.0,4.0,Albany,CA,2,Albany City Unified School District,601860,"1259 Brighton Avenue, 
Albany, CA  94706",(510) 558-3600,(510) 559-6547,http://ams.ausdk12.org/,60186000060.0,37.89785,-122.2953,https://www.greatschools.org/california/albany/20-Albany-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/20-Albany-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/20-Albany-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,3.32,https://www.greatschools.org/california/albany/20-Albany-Middle-School/?utm_source=GSAPI&utm_medium=referral
21,Cornell Elementary School,public,K-5,548.0,10.0,4.0,Albany,CA,2,Albany City Unified School District,601860,"920 Talbot Avenue, 
Albany, CA  94706",(510) 558-3700,(510) 559-6516,http://cornell.ausdk12.org/,60186000061.0,37.889828,-122.29518,https://www.greatschools.org/california/albany/21-Cornell-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/21-Cornell-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/21-Cornell-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,0.13,https://www.greatschools.org/california/albany/21-Cornell-Elementary-School/?utm_source=GSAPI&utm_medium=referral
22,Macgregor High (Continuation) School,public,10-12,16.0,,2.0,Albany,CA,2,Albany City Unified School District,601860,"603 Key Route Blvd, 
Albany, CA  94706",(510) 559-6570,(510) 559-6572,,60186007638.0,37.89642,-122.29211000000001,https://www.greatschools.org/california/albany/22-Macgregor-High-(Continuation)-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/22-Macgregor-High-(Continuation)-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/22-Macgregor-High-(Continuation)-School/?utm_source=GSAPI&utm_medium=referral#Reviews,0.7,https://www.greatschools.org/california/albany/22-Macgregor-High-(Continuation)-School/?utm_source=GSAPI&utm_medium=referral
23,Marin Elementary School,public,K-5,499.0,8.0,4.0,Albany,CA,2,Albany City Unified School District,601860,"1001 Santa Fe Avenue, 
Albany, CA  94706",(510) 559-4700,(510) 559-6509,marin.ausdk12.org,60186000062.0,37.888557,-122.28817,https://www.greatschools.org/california/albany/23-Marin-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/23-Marin-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/23-Marin-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.22,https://www.greatschools.org/california/albany/23-Marin-Elementary-School/?utm_source=GSAPI&utm_medium=referral
25,Berkeley High School,public,9-12,3205.0,8.0,4.0,Berkeley,CA,3,Berkeley Unified School District,604740,"1980 Allston Way, 
Berkeley, CA  94704",(510) 644-6120,(510) 548-4221,http://bhs.berkeleyschools.net/,60474000432.0,37.86891,-122.2712,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.05,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral
26,Rosa Parks Environmental Science Magnet School,public,K-5,463.0,7.0,4.0,Berkeley,CA,3,Berkeley Unified School District,604740,"920 Allston Way, 
Berkeley, CA  94710",(510) 644-8812,(510) 883-6986,,60474006865.0,37.86565,-122.29471000000001,https://www.greatschools.org/california/berkeley/26-Rosa-Parks-Environmental-Science-Magnet-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/26-Rosa-Parks-Environmental-Science-Magnet-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/26-Rosa-Parks-Environmental-Science-Magnet-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.42,https://www.greatschools.org/california/berkeley/26-Rosa-Parks-Environmental-Science-Magnet-School/?utm_source=GSAPI&utm_medium=referral
27,Cragmont Elementary School,public,K-5,419.0,6.0,4.0,Berkeley,CA,3,Berkeley Unified School District,604740,"830 Regal Road, 
Berkeley, CA  94708",(510) 644-8810,(510) 644-7717,http://www.cragmont.org/,60474006895.0,37.892672999999995,-122.26355,https://www.greatschools.org/california/berkeley/27-Cragmont-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/27-Cragmont-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/27-Cragmont-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,0.96,https://www.greatschools.org/california/berkeley/27-Cragmont-Elementary-School/?utm_source=GSAPI&utm_medium=referral
29,Emerson Elementary School,public,K-5,305.0,7.0,5.0,Berkeley,CA,3,Berkeley Unified School District,604740,"2800 Forest Avenue, 
Berkeley, CA  94705",(510) 644-6890,(510) 644-7758,http://www.berkeleyschools.net/schools/elementary-schools/emerson/,60474000436.0,37.86149,-122.25111000000001,https://www.greatschools.org/california/berkeley/29-Emerson-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/29-Emerson-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/29-Emerson-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,4.71,https://www.greatschools.org/california/berkeley/29-Emerson-Elementary-School/?utm_source=GSAPI&utm_medium=referral
30,Jefferson Elementary School,public,K-5,422.0,8.0,5.0,Berkeley,CA,3,Berkeley Unified School District,604740,"1400 Ada Street, 
Berkeley, CA  94702",(510) 644-6298,(510) 644-6984,http://jefferson.berkeleypta.org/,60474000441.0,37.87892,-122.28521,https://www.greatschools.org/california/berkeley/30-Jefferson-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/30-Jefferson-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/30-Jefferson-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,3.91,https://www.greatschools.org/california/berkeley/30-Jefferson-Elementary-School/?utm_source=GSAPI&utm_medium=referral
31,Martin Luther King Middle School,public,6-8,1027.0,8.0,4.0,Berkeley,CA,3,Berkeley Unified School District,604740,"1781 Rose Street, 
Berkeley, CA  94703",(510) 644-6280,(510) 644-8783,,60474000443.0,37.88111,-122.277,https://www.greatschools.org/california/berkeley/31-Martin-Luther-King-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/31-Martin-Luther-King-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/31-Martin-Luther-King-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.61,https://www.greatschools.org/california/berkeley/31-Martin-Luther-King-Middle-School/?utm_source=GSAPI&utm_medium=referral
32,Leconte Elementary School,public,K-5,347.0,6.0,4.0,Berkeley,CA,3,Berkeley Unified School District,604740,"2241 Russell Street, 
Berkeley, CA  94705",(510) 644-6290,(510) 644-7767,,60474000445.0,37.857353,-122.26231000000001,https://www.greatschools.org/california/berkeley/32-Leconte-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/32-Leconte-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/32-Leconte-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,3.0,https://www.greatschools.org/california/berkeley/32-Leconte-Elementary-School/?utm_source=GSAPI&utm_medium=referral
33,Longfellow Arts And Technology Middle School,public,6-8,512.0,5.0,4.0,Berkeley,CA,3,Berkeley Unified School District,604740,"1500 Derby Street, 
Berkeley, CA  94703",(510) 644-6360,(510) 644-8707,,60474000446.0,37.85869,-122.28,https://www.greatschools.org/california/berkeley/33-Longfellow-Arts-And-Technology-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/33-Longfellow-Arts-And-Technology-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/33-Longfellow-Arts-And-Technology-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,1.38,https://www.greatschools.org/california/berkeley/33-Longfellow-Arts-And-Technology-Middle-School/?utm_source=GSAPI&utm_medium=referral
34,Malcolm X Elementary School,public,K-5,550.0,6.0,5.0,Berkeley,CA,3,Berkeley Unified School District,604740,"1731 Prince Street, 
Berkeley, CA  94703",(510) 644-6313,(510) 644-6297,http://www.malcolmxelementary.org/,60474000447.0,37.85244,-122.2736,https://www.greatschools.org/california/berkeley/34-Malcolm-X-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/34-Malcolm-X-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/34-Malcolm-X-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,1.95,https://www.greatschools.org/california/berkeley/34-Malcolm-X-Elementary-School/?utm_source=GSAPI&utm_medium=referral
35,John Muir Elementary School,public,K-5,292.0,6.0,5.0,Berkeley,CA,3,Berkeley Unified School District,604740,"2955 Claremont Avenue, 
Berkeley, CA  94705",(510) 644-6410,(510) 644-8643,http://www.berkeleyschools.net/schools/elementary-schools/john-muir-elementary/,60474008119.0,37.857193,-122.24593,https://www.greatschools.org/california/berkeley/35-John-Muir-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/35-John-Muir-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/35-John-Muir-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,3.4,https://www.greatschools.org/california/berkeley/35-John-Muir-Elementary-School/?utm_source=GSAPI&utm_medium=referral
36,Oxford Elementary School,public,K-5,302.0,6.0,4.0,Berkeley,CA,3,Berkeley Unified School District,604740,"1130 Oxford Street, 
Berkeley, CA  94707",(510) 644-6300,(510) 644-4869,http://oxfordelementary.org/,60474000448.0,37.887794,-122.26827,https://www.greatschools.org/california/berkeley/36-Oxford-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/36-Oxford-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/36-Oxford-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,1.1,https://www.greatschools.org/california/berkeley/36-Oxford-Elementary-School/?utm_source=GSAPI&utm_medium=referral
37,Thousand Oaks Elementary School,public,K-5,442.0,5.0,5.0,Berkeley,CA,3,Berkeley Unified School District,604740,"840 Colusa Avenue, 
Berkeley, CA  94707",(510) 644-6368,(510) 644-4825,http://www.berkeleyschools.net/schools/elementary-schools/thousand-oaks-elementary/,60474000450.0,37.89308,-122.2804,https://www.greatschools.org/california/berkeley/37-Thousand-Oaks-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/37-Thousand-Oaks-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/37-Thousand-Oaks-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,3.59,https://www.greatschools.org/california/berkeley/37-Thousand-Oaks-Elementary-School/?utm_source=GSAPI&utm_medium=referral
38,Washington Elementary School,public,K-5,466.0,7.0,4.0,Berkeley,CA,3,Berkeley Unified School District,604740,"2300 Martin Luther King Junior Way, 
Berkeley, CA  94704",(510) 644-6310,(510) 644-7718,http://berkeley.k12.ca.us,60474000452.0,37.86696,-122.27257,https://www.greatschools.org/california/berkeley/38-Washington-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/38-Washington-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/38-Washington-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,0.25,https://www.greatschools.org/california/berkeley/38-Washington-Elementary-School/?utm_source=GSAPI&utm_medium=referral
39,Berkeley Arts Magnet at Whittier School,public,K-5,448.0,8.0,4.0,Berkeley,CA,3,Berkeley Unified School District,604740,"1645 Milvia Street, 
Berkeley, CA  94709",(510) 644-6225,(510) 644-6265,,60474000431.0,37.87692,-122.27123,https://www.greatschools.org/california/berkeley/39-Berkeley-Arts-Magnet-At-Whittier-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/39-Berkeley-Arts-Magnet-At-Whittier-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/39-Berkeley-Arts-Magnet-At-Whittier-School/?utm_source=GSAPI&utm_medium=referral#Reviews,1.71,https://www.greatschools.org/california/berkeley/39-Berkeley-Arts-Magnet-At-Whittier-School/?utm_source=GSAPI&utm_medium=referral
40,Willard Middle School,public,6-8,569.0,7.0,4.0,Berkeley,CA,3,Berkeley Unified School District,604740,"2425 Stuart Street, 
Berkeley, CA  94705",(510) 644-6330,(510) 548-4219,http://willard.berkeley.k12.ca.us/,60474007267.0,37.859665,-122.25862,https://www.greatschools.org/california/berkeley/40-Willard-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/40-Willard-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/40-Willard-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.12,https://www.greatschools.org/california/berkeley/40-Willard-Middle-School/?utm_source=GSAPI&utm_medium=referral
41,Canyon Middle School,public,6-8,1412.0,7.0,4.0,Castro Valley,CA,4,Castro Valley Unified School District,607800,"19600 Cull Canyon Road, 
Castro Valley, CA  94552",(510) 538-8833,(510) 247-9439,http://www.canyon.cv.k12.ca.us/,60780000740.0,37.705771999999996,-122.05426000000001,https://www.greatschools.org/california/castro-valley/41-Canyon-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/41-Canyon-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/41-Canyon-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,1.54,https://www.greatschools.org/california/castro-valley/41-Canyon-Middle-School/?utm_source=GSAPI&utm_medium=referral
42,Castro Valley Elementary School,public,K-5,469.0,6.0,4.0,Castro Valley,CA,4,Castro Valley Unified School District,607800,"20185 San Miguel Avenue, 
Castro Valley, CA  94546",(510) 537-1919,(510) 537-9892,http://www.cv.k12.ca.us/cve,60780000741.0,37.698048,-122.08102,https://www.greatschools.org/california/castro-valley/42-Castro-Valley-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/42-Castro-Valley-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/42-Castro-Valley-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,3.95,https://www.greatschools.org/california/castro-valley/42-Castro-Valley-Elementary-School/?utm_source=GSAPI&utm_medium=referral
43,Castro Valley High School,public,9-12,2977.0,9.0,4.0,Castro Valley,CA,4,Castro Valley Unified School District,607800,"19400 Santa Maria Avenue, 
Castro Valley, CA  94546",(510) 537-5910,(510) 582-3924,http://www.cv.k12.ca.us,60780000742.0,37.705185,-122.07847,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.51,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral
44,Chabot Elementary School,public,K-5,456.0,8.0,5.0,Castro Valley,CA,4,Castro Valley Unified School District,607800,"19104 Lake Chabot Road, 
Castro Valley, CA  94546",(510) 537-2342,(510) 537-9418,http://www.cv.k12.ca.us/chabot,60780007661.0,37.707085,-122.09012,https://www.greatschools.org/california/castro-valley/44-Chabot-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/44-Chabot-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/44-Chabot-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,1.05,https://www.greatschools.org/california/castro-valley/44-Chabot-Elementary-School/?utm_source=GSAPI&utm_medium=referral
45,Creekside Middle School,public,6-8,793.0,7.0,5.0,Castro Valley,CA,4,Castro Valley Unified School District,607800,"19722 Center Street, 
Castro Valley, CA  94546",(510) 247-0665,(510) 581-6617,http://www.creekside.cv.k12.ca.us,60780006909.0,37.699923999999996,-122.06123999999998,https://www.greatschools.org/california/castro-valley/45-Creekside-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/45-Creekside-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/45-Creekside-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.84,https://www.greatschools.org/california/castro-valley/45-Creekside-Middle-School/?utm_source=GSAPI&utm_medium=referral
