CountryCode,SeriesCode,Year,DESCRIPTION
USA,SE.COM.DURS,YR2004,Country data
USA,SE.COM.DURS,YR2005,Country data
USA,SE.COM.DURS,YR2006,Country data
USA,SE.COM.DURS,YR2007,Country data
USA,SE.COM.DURS,YR2008,Country data
USA,SE.COM.DURS,YR2009,Country data
USA,SE.COM.DURS,YR2010,Country data
USA,SE.COM.DURS,YR2011,Country data
USA,SE.ENR.PRIM.FM.ZS,YR1999,Country data
USA,SE.ENR.PRIM.FM.ZS,YR2000,Country data
USA,SE.ENR.PRIM.FM.ZS,YR2001,Country data
USA,SE.ENR.PRIM.FM.ZS,YR2002,Country data
USA,SE.ENR.PRIM.FM.ZS,YR2003,Country data
USA,SE.ENR.PRIM.FM.ZS,YR2005,Country data
USA,SE.ENR.PRIM.FM.ZS,YR2006,Country data
USA,SE.ENR.PRIM.FM.ZS,YR2007,Country data
USA,SE.ENR.PRIM.FM.ZS,YR2008,Country data
USA,SE.ENR.PRIM.FM.ZS,YR2009,Country data
USA,SE.ENR.PRIM.FM.ZS,YR2010,Country data
USA,SE.ENR.PRSC.FM.ZS,YR2000,Country data
USA,SE.ENR.PRSC.FM.ZS,YR2001,Country data
USA,SE.ENR.PRSC.FM.ZS,YR2002,Country data
USA,SE.ENR.PRSC.FM.ZS,YR2003,Country data
USA,SE.ENR.PRSC.FM.ZS,YR2005,Country data
USA,SE.ENR.PRSC.FM.ZS,YR2006,Country data
USA,SE.ENR.PRSC.FM.ZS,YR2007,Country data
USA,SE.ENR.PRSC.FM.ZS,YR2008,Country data
USA,SE.ENR.PRSC.FM.ZS,YR2009,Country data
USA,SE.ENR.PRSC.FM.ZS,YR2010,Country data
USA,SE.ENR.SECO.FM.ZS,YR2000,Country data
USA,SE.ENR.SECO.FM.ZS,YR2001,Country data
USA,SE.ENR.SECO.FM.ZS,YR2002,Country data
USA,SE.ENR.SECO.FM.ZS,YR2003,Country data
USA,SE.ENR.SECO.FM.ZS,YR2004,Country data
USA,SE.ENR.SECO.FM.ZS,YR2005,Country data
USA,SE.ENR.SECO.FM.ZS,YR2006,Country data
USA,SE.ENR.SECO.FM.ZS,YR2007,Country data
USA,SE.ENR.SECO.FM.ZS,YR2008,Country data
USA,SE.ENR.SECO.FM.ZS,YR2009,Country data
USA,SE.ENR.SECO.FM.ZS,YR2010,Country data
USA,SE.ENR.TERT.FM.ZS,YR2000,Country data
USA,SE.ENR.TERT.FM.ZS,YR2001,Country data
USA,SE.ENR.TERT.FM.ZS,YR2002,Country data
USA,SE.ENR.TERT.FM.ZS,YR2003,Country data
USA,SE.ENR.TERT.FM.ZS,YR2004,Country data
USA,SE.ENR.TERT.FM.ZS,YR2005,Country data
USA,SE.ENR.TERT.FM.ZS,YR2006,Country data
USA,SE.ENR.TERT.FM.ZS,YR2007,Country data
USA,SE.ENR.TERT.FM.ZS,YR2008,Country data
USA,SE.ENR.TERT.FM.ZS,YR2009,Country data
USA,SE.ENR.TERT.FM.ZS,YR2010,Country data
USA,SE.PRE.ENRL,YR2002,Country estimation.
USA,SE.PRE.ENRL,YR2003,Country estimation.
USA,SE.PRE.ENRL.FE,YR1991,Country estimation.
USA,SE.PRE.ENRR,YR1999,Country data
USA,SE.PRE.ENRR,YR2000,Country data
USA,SE.PRE.ENRR,YR2001,Country data
USA,SE.PRE.ENRR,YR2002,Country data
USA,SE.PRE.ENRR,YR2003,Country data
USA,SE.PRE.ENRR,YR2004,Country data
USA,SE.PRE.ENRR,YR2005,Country data
USA,SE.PRE.ENRR,YR2006,Country data
USA,SE.PRE.ENRR,YR2007,Country data
USA,SE.PRE.ENRR,YR2008,Country data
USA,SE.PRE.ENRR,YR2009,Country data
USA,SE.PRE.ENRR,YR2010,Country data
USA,SE.PRE.ENRR.FE,YR1999,Country data
USA,SE.PRE.ENRR.FE,YR2000,Country data
USA,SE.PRE.ENRR.FE,YR2002,Country data
USA,SE.PRE.ENRR.FE,YR2004,Country data
USA,SE.PRE.ENRR.FE,YR2005,Country data
USA,SE.PRE.ENRR.FE,YR2006,Country data
USA,SE.PRE.ENRR.FE,YR2007,Country data
USA,SE.PRE.ENRR.FE,YR2008,Country data
USA,SE.PRE.ENRR.FE,YR2009,Country data
USA,SE.PRE.ENRR.FE,YR2010,Country data
USA,SE.PRE.ENRR.MA,YR1999,Country data
USA,SE.PRE.ENRR.MA,YR2000,Country data
USA,SE.PRE.ENRR.MA,YR2002,Country data
USA,SE.PRE.ENRR.MA,YR2004,Country data
USA,SE.PRE.ENRR.MA,YR2005,Country data
USA,SE.PRE.ENRR.MA,YR2006,Country data
USA,SE.PRE.ENRR.MA,YR2007,Country data
USA,SE.PRE.ENRR.MA,YR2008,Country data
USA,SE.PRE.ENRR.MA,YR2009,Country data
USA,SE.PRE.ENRR.MA,YR2010,Country data
USA,SE.PRE.NENR.FE,YR1999,Country estimation.
USA,SE.PRE.NENR.FE,YR2008,Country estimation.
USA,SE.PRE.TCHR,YR1998,Country estimation.
USA,SE.PRE.TCHR,YR2000,Country estimation.
USA,SE.PRE.TCHR.FE,YR1995,Country estimation.
USA,SE.PRE.TCHR.FE,YR2006,Country estimation.
USA,SE.PRE.TCHR.FE.ZS,YR1995,Country estimation.
USA,SE.PRM.AGES,YR1999,Country data
USA,SE.PRM.AGES,YR2000,Country data
USA,SE.PRM.AGES,YR2001,Country data
USA,SE.PRM.AGES,YR2002,Country data
USA,SE.PRM.AGES,YR2003,Country data
USA,SE.PRM.AGES,YR2004,Country data
USA,SE.PRM.AGES,YR2005,Country data
USA,SE.PRM.AGES,YR2006,Country data
USA,SE.PRM.AGES,YR2007,Country data
USA,SE.PRM.AGES,YR2008,Country data
USA,SE.PRM.AGES,YR2009,Country data
USA,SE.PRM.AGES,YR2010,Country data
USA,SE.PRM.AGES,YR2011,Country data
USA,SE.PRM.AGES,YR2012,Country data
USA,SE.PRM.CMPT.FE.ZS,YR1998,Estimated
USA,SE.PRM.CMPT.MA.ZS,YR1998,Estimated
USA,SE.PRM.CMPT.ZS,YR1998,Estimated
USA,SE.PRM.DURS,YR1999,Country data
USA,SE.PRM.DURS,YR2000,Country data
USA,SE.PRM.DURS,YR2001,Country data
USA,SE.PRM.DURS,YR2002,Country data
USA,SE.PRM.DURS,YR2003,Country data
USA,SE.PRM.DURS,YR2004,Country data
USA,SE.PRM.DURS,YR2005,Country data
USA,SE.PRM.DURS,YR2006,Country data
USA,SE.PRM.DURS,YR2007,Country data
USA,SE.PRM.DURS,YR2008,Country data
USA,SE.PRM.DURS,YR2009,Country data
USA,SE.PRM.DURS,YR2010,Country data
USA,SE.PRM.DURS,YR2011,Country data
USA,SE.PRM.DURS,YR2012,Country data
USA,SE.PRM.ENRL,YR1999,Country data
USA,SE.PRM.ENRL,YR2000,Country data
USA,SE.PRM.ENRL,YR2001,Country data
USA,SE.PRM.ENRL,YR2002,Country data
USA,SE.PRM.ENRL,YR2003,Country data
USA,SE.PRM.ENRL,YR2004,Country data
USA,SE.PRM.ENRL,YR2005,Country data
USA,SE.PRM.ENRL,YR2006,Country data
USA,SE.PRM.ENRL,YR2007,Country data
USA,SE.PRM.ENRL,YR2008,Country data
USA,SE.PRM.ENRL,YR2009,Country data
USA,SE.PRM.ENRL,YR2010,Country data
USA,SE.PRM.ENRL.FE,YR1999,Country data
USA,SE.PRM.ENRL.FE,YR2000,Country data
USA,SE.PRM.ENRL.FE,YR2001,Country data
USA,SE.PRM.ENRL.FE,YR2002,Country data
USA,SE.PRM.ENRL.FE,YR2003,Country data
USA,SE.PRM.ENRL.FE,YR2005,Country data
USA,SE.PRM.ENRL.FE,YR2006,Country data
USA,SE.PRM.ENRL.FE,YR2007,Country data
USA,SE.PRM.ENRL.FE,YR2008,Country data
USA,SE.PRM.ENRL.FE,YR2009,Country data
USA,SE.PRM.ENRL.FE,YR2010,Country data
USA,SE.PRM.ENRL.FE.ZS,YR1999,Country data
USA,SE.PRM.ENRL.FE.ZS,YR2000,Country data
USA,SE.PRM.ENRL.FE.ZS,YR2001,Country data
USA,SE.PRM.ENRL.FE.ZS,YR2002,Country data
USA,SE.PRM.ENRL.FE.ZS,YR2003,Country data
USA,SE.PRM.ENRL.FE.ZS,YR2005,Country data
USA,SE.PRM.ENRL.FE.ZS,YR2006,Country data
USA,SE.PRM.ENRL.FE.ZS,YR2007,Country data
USA,SE.PRM.ENRL.FE.ZS,YR2008,Country data
USA,SE.PRM.ENRL.FE.ZS,YR2009,Country data
USA,SE.PRM.ENRL.FE.ZS,YR2010,Country data
USA,SE.PRM.ENRL.TC.ZS,YR1999,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2000,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2001,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2002,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2003,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2004,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2005,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2006,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2007,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2008,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2009,Country data
USA,SE.PRM.ENRL.TC.ZS,YR2010,Country data
USA,SE.PRM.ENRR,YR1999,Country data
USA,SE.PRM.ENRR,YR2000,Country data
USA,SE.PRM.ENRR,YR2001,Country data
USA,SE.PRM.ENRR,YR2002,Country data
USA,SE.PRM.ENRR,YR2003,Country data
USA,SE.PRM.ENRR,YR2004,Country data
USA,SE.PRM.ENRR,YR2005,Country data
USA,SE.PRM.ENRR,YR2006,Country data
USA,SE.PRM.ENRR,YR2007,Country data
USA,SE.PRM.ENRR,YR2008,Country data
USA,SE.PRM.ENRR,YR2009,Country data
USA,SE.PRM.ENRR,YR2010,Country data
USA,SE.PRM.ENRR.FE,YR1999,Country data
USA,SE.PRM.ENRR.FE,YR2000,Country data
USA,SE.PRM.ENRR.FE,YR2001,Country data
USA,SE.PRM.ENRR.FE,YR2002,Country data
USA,SE.PRM.ENRR.FE,YR2003,Country data
USA,SE.PRM.ENRR.FE,YR2005,Country data
USA,SE.PRM.ENRR.FE,YR2006,Country data
USA,SE.PRM.ENRR.FE,YR2007,Country data
USA,SE.PRM.ENRR.FE,YR2008,Country data
USA,SE.PRM.ENRR.FE,YR2009,Country data
USA,SE.PRM.ENRR.FE,YR2010,Country data
USA,SE.PRM.ENRR.MA,YR1999,Country data
USA,SE.PRM.ENRR.MA,YR2000,Country data
USA,SE.PRM.ENRR.MA,YR2001,Country data
USA,SE.PRM.ENRR.MA,YR2002,Country data
USA,SE.PRM.ENRR.MA,YR2003,Country data
USA,SE.PRM.ENRR.MA,YR2005,Country data
USA,SE.PRM.ENRR.MA,YR2006,Country data
USA,SE.PRM.ENRR.MA,YR2007,Country data
USA,SE.PRM.ENRR.MA,YR2008,Country data
USA,SE.PRM.ENRR.MA,YR2009,Country data
USA,SE.PRM.ENRR.MA,YR2010,Country data
USA,SE.PRM.GINT.FE.ZS,YR1999,Country data
USA,SE.PRM.GINT.FE.ZS,YR2000,Country data
USA,SE.PRM.GINT.FE.ZS,YR2001,Country data
USA,SE.PRM.GINT.FE.ZS,YR2002,Country data
USA,SE.PRM.GINT.FE.ZS,YR2003,Country data
USA,SE.PRM.GINT.FE.ZS,YR2004,Country data
USA,SE.PRM.GINT.FE.ZS,YR2005,Country data
USA,SE.PRM.GINT.FE.ZS,YR2006,Country data
USA,SE.PRM.GINT.FE.ZS,YR2007,Country data
USA,SE.PRM.GINT.FE.ZS,YR2008,Country data
USA,SE.PRM.GINT.FE.ZS,YR2009,Country data
USA,SE.PRM.GINT.FE.ZS,YR2010,Country data
USA,SE.PRM.GINT.ZS,YR1999,Country data
USA,SE.PRM.GINT.ZS,YR2000,Country data
USA,SE.PRM.GINT.ZS,YR2001,Country data
USA,SE.PRM.GINT.ZS,YR2002,Country data
USA,SE.PRM.GINT.ZS,YR2003,Country data
USA,SE.PRM.GINT.ZS,YR2004,Country data
USA,SE.PRM.GINT.ZS,YR2005,Country data
USA,SE.PRM.GINT.ZS,YR2006,Country data
USA,SE.PRM.GINT.ZS,YR2007,Country data
USA,SE.PRM.GINT.ZS,YR2008,Country data
USA,SE.PRM.GINT.ZS,YR2009,Country data
USA,SE.PRM.GINT.ZS,YR2010,Country data
USA,SE.PRM.NENR,YR1999,Country data
USA,SE.PRM.NENR,YR2000,Country data
USA,SE.PRM.NENR,YR2001,Country data
USA,SE.PRM.NENR,YR2002,Country data
USA,SE.PRM.NENR,YR2003,Country data
USA,SE.PRM.NENR,YR2004,Country data
USA,SE.PRM.NENR,YR2005,Country data
USA,SE.PRM.NENR,YR2006,Country data
USA,SE.PRM.NENR,YR2007,Country data
USA,SE.PRM.NENR,YR2008,Country data
USA,SE.PRM.NENR,YR2009,Country data
USA,SE.PRM.NENR,YR2010,Country data
USA,SE.PRM.NENR.FE,YR1999,Country data
USA,SE.PRM.NENR.FE,YR2000,Country data
USA,SE.PRM.NENR.FE,YR2001,Country data
USA,SE.PRM.NENR.FE,YR2002,Country data
USA,SE.PRM.NENR.FE,YR2003,Country data
USA,SE.PRM.NENR.FE,YR2005,Country data
USA,SE.PRM.NENR.FE,YR2006,Country data
USA,SE.PRM.NENR.FE,YR2007,Country data
USA,SE.PRM.NENR.FE,YR2008,Country data
USA,SE.PRM.NENR.FE,YR2009,Country data
USA,SE.PRM.NENR.FE,YR2010,Country data
USA,SE.PRM.NENR.MA,YR1999,Country data
USA,SE.PRM.NENR.MA,YR2000,Country data
USA,SE.PRM.NENR.MA,YR2001,Country data
USA,SE.PRM.NENR.MA,YR2002,Country data
USA,SE.PRM.NENR.MA,YR2003,Country data
USA,SE.PRM.NENR.MA,YR2005,Country data
USA,SE.PRM.NENR.MA,YR2006,Country data
USA,SE.PRM.NENR.MA,YR2007,Country data
USA,SE.PRM.NENR.MA,YR2008,Country data
USA,SE.PRM.NENR.MA,YR2009,Country data
USA,SE.PRM.NENR.MA,YR2010,Country data
USA,SE.PRM.NINT.FE.ZS,YR2002,Country data
USA,SE.PRM.NINT.FE.ZS,YR2003,Country data
USA,SE.PRM.NINT.FE.ZS,YR2004,Country data
USA,SE.PRM.NINT.FE.ZS,YR2005,Country data
USA,SE.PRM.NINT.FE.ZS,YR2006,Country data
USA,SE.PRM.NINT.FE.ZS,YR2007,Country data
USA,SE.PRM.NINT.FE.ZS,YR2008,Country data
USA,SE.PRM.NINT.FE.ZS,YR2009,Country data
USA,SE.PRM.NINT.FE.ZS,YR2010,Country data
USA,SE.PRM.NINT.MA.ZS,YR2002,Country data
USA,SE.PRM.NINT.MA.ZS,YR2003,Country data
USA,SE.PRM.NINT.MA.ZS,YR2004,Country data
USA,SE.PRM.NINT.MA.ZS,YR2005,Country data
USA,SE.PRM.NINT.MA.ZS,YR2006,Country data
USA,SE.PRM.NINT.MA.ZS,YR2007,Country data
USA,SE.PRM.NINT.MA.ZS,YR2008,Country data
USA,SE.PRM.NINT.MA.ZS,YR2009,Country data
USA,SE.PRM.NINT.MA.ZS,YR2010,Country data
USA,SE.PRM.NINT.ZS,YR2002,Country data
USA,SE.PRM.NINT.ZS,YR2003,Country data
USA,SE.PRM.NINT.ZS,YR2004,Country data
USA,SE.PRM.NINT.ZS,YR2005,Country data
USA,SE.PRM.NINT.ZS,YR2006,Country data
USA,SE.PRM.NINT.ZS,YR2007,Country data
USA,SE.PRM.NINT.ZS,YR2008,Country data
USA,SE.PRM.NINT.ZS,YR2009,Country data
USA,SE.PRM.NINT.ZS,YR2010,Country data
USA,SE.PRM.PRIV.ZS,YR1999,Country data
