id,name,county,gsRating,parentRating,zip,price,district,income
152,Martin Elementary School,San Mateo,3,3,94080,1024666.667,South San Francisco Unified School District,75205
153,Parkway Heights Middle School,San Mateo,4,3,94080,1024666.667,South San Francisco Unified School District,75205
154,Ponderosa Elementary School,San Mateo,7,4,94080,1024666.667,South San Francisco Unified School District,75205
155,South San Francisco High School,San Mateo,6,4,94080,1024666.667,South San Francisco Unified School District,75205
156,Spruce Elementary School,San Mateo,3,3,94080,1024666.667,South San Francisco Unified School District,75205
157,Sunshine Gardens Elementary School,San Mateo,3,4,94080,1024666.667,South San Francisco Unified School District,75205
158,Westborough Middle School,San Mateo,8,4,94080,1024666.667,South San Francisco Unified School District,75205
164,Braly Elementary School,Santa Clara,6,4,94086,1592166.667,Santa Clara Unified School District,84441
165,Ponderosa Elementary School,Santa Clara,7,4,94086,1592166.667,Santa Clara Unified School District,84441
172,Fremont High School,Santa Clara,7,4,94087,2059416.667,Fremont Union High School District,100428
173,Marian A. Peterson Middle School,Santa Clara,7,4,94087,2059416.667,Santa Clara Unified School District,84441
182,Tenderloin Community,San Francisco,3,4,94102,892833.3333,San Francisco Unified School District,70040
184,Carmichael (Bessie)/Fec,San Francisco,3,4,94103,935416.6667,San Francisco Unified School District,70040
185,Marshall Elementary School,San Francisco,3,4,94103,935416.6667,San Francisco Unified School District,70040
187,King (Starr) Elementary School,San Francisco,5,4,94107,1184500,San Francisco Unified School District,70040
188,Daniel Webster Elementary School,San Francisco,3,4,94107,1184500,San Francisco Unified School District,70040
189,Lau (Gordon J.) Elementary School,San Francisco,7,5,94108,1061833.333,San Francisco Unified School District,70040
190,Galileo High School,San Francisco,8,5,94109,1159916.667,San Francisco Unified School District,70040
191,Redding Elementary School,San Francisco,6,4,94109,1159916.667,San Francisco Unified School District,70040
192,Spring Valley Elementary School,San Francisco,5,5,94109,1159916.667,San Francisco Unified School District,70040
193,Bryant Elementary School,San Francisco,3,4,94110,1485833.333,San Francisco Unified School District,70040
194,Chavez (Cesar) Elementary School,San Francisco,1,3,94110,1485833.333,San Francisco Unified School District,70040
195,Flynn (Leonard R.) Elementary School,San Francisco,2,4,94110,1485833.333,San Francisco Unified School District,70040
196,Buena Vista/ Horace Mann K-8,San Francisco,3,4,94110,1485833.333,San Francisco Unified School District,70040
197,Moscone (George R.) Elementary School,San Francisco,5,4,94110,1485833.333,San Francisco Unified School District,70040
198,O'connell (John) High School,San Francisco,2,4,94110,1485833.333,San Francisco Unified School District,70040
199,Revere (Paul) Elementary School,San Francisco,1,4,94110,1485833.333,San Francisco Unified School District,70040
200,Serra (Junipero) Elementary School,San Francisco,5,5,94110,1485833.333,San Francisco Unified School District,70040
202,S.F. International High School,San Francisco,2,4,94110,1485833.333,San Francisco Unified School District,70040
204,Balboa High School,San Francisco,7,4,94112,1143333.333,San Francisco Unified School District,70040
205,Cleveland Elementary School,San Francisco,2,4,94112,1143333.333,San Francisco Unified School District,70040
206,Denman (James) Middle School,San Francisco,4,4,94112,1143333.333,San Francisco Unified School District,70040
207,Guadalupe Elementary School,San Francisco,3,4,94112,1143333.333,San Francisco Unified School District,70040
208,Longfellow Elementary School,San Francisco,4,4,94112,1143333.333,San Francisco Unified School District,70040
209,Monroe Elementary School,San Francisco,5,4,94112,1143333.333,San Francisco Unified School District,70040
210,San Francisco Community Alternative School,San Francisco,3,4,94112,1143333.333,San Francisco Unified School District,70040
211,Sheridan Elementary School,San Francisco,3,4,94112,1143333.333,San Francisco Unified School District,70040
212,Sunnyside Elementary School,San Francisco,6,4,94112,1143333.333,San Francisco Unified School District,70040
213,Jordan (June) School For Equity,San Francisco,2,4,94112,1143333.333,San Francisco Unified School District,70040
214,Alvarado Elementary School,San Francisco,6,4,94114,1774000,San Francisco Unified School District,70040
215,Everett Middle School,San Francisco,4,3,94114,1774000,San Francisco Unified School District,70040
216,Lick (James) Middle School,San Francisco,2,4,94114,1774000,San Francisco Unified School District,70040
217,McKinley Elementary School,San Francisco,7,5,94114,1774000,San Francisco Unified School District,70040
218,Milk (Harvey) Civil Rights Elementary School,San Francisco,2,4,94114,1774000,San Francisco Unified School District,70040
219,Mission High School,San Francisco,2,4,94114,1774000,San Francisco Unified School District,70040
220,Sanchez Elementary School,San Francisco,1,4,94114,1774000,San Francisco Unified School District,70040
221,Cobb (William L.) Elementary School,San Francisco,2,5,94115,1505416.667,San Francisco Unified School District,70040
222,Parks (Rosa) Elementary School,San Francisco,4,5,94115,1505416.667,San Francisco Unified School District,70040
223,Wallenberg (Raoul) Traditional High School,San Francisco,8,3,94115,1505416.667,San Francisco Unified School District,70040
224,San Francisco Public Montessori School,San Francisco,6,4,94115,1505416.667,San Francisco Unified School District,70040
225,Hoover (Herbert) Middle School,San Francisco,6,4,94116,1461666.667,San Francisco Unified School District,70040
226,Lincoln (Abraham) High School,San Francisco,8,5,94116,1461666.667,San Francisco Unified School District,70040
227,Stevenson (Robert Louis) Elementary School,San Francisco,10,4,94116,1461666.667,San Francisco Unified School District,70040
228,Sunset Elementary School,San Francisco,10,5,94116,1461666.667,San Francisco Unified School District,70040
229,Ulloa Elementary School,San Francisco,10,3,94116,1461666.667,San Francisco Unified School District,70040
231,Feinstein (Dianne) Elementary School,San Francisco,7,4,94116,1461666.667,San Francisco Unified School District,70040
232,Grattan Elementary School,San Francisco,8,5,94117,1589166.667,San Francisco Unified School District,70040
233,Muir (John) Elementary School,San Francisco,4,4,94117,1589166.667,San Francisco Unified School District,70040
234,New Traditions Elementary School,San Francisco,9,4,94117,1589166.667,San Francisco Unified School District,70040
236,Chinese Immersion School At Deavila,San Francisco,10,5,94117,1589166.667,San Francisco Unified School District,70040
237,Mccoppin (Frank) Elementary School,San Francisco,7,4,94118,1910583.333,San Francisco Unified School District,70040
238,Peabody (George) Elementary School,San Francisco,9,5,94118,1910583.333,San Francisco Unified School District,70040
239,Roosevelt Middle School,San Francisco,9,4,94118,1910583.333,San Francisco Unified School District,70040
240,Sutro Elementary School,San Francisco,8,5,94118,1910583.333,San Francisco Unified School District,70040
241,Alamo Elementary School,San Francisco,8,5,94121,1646500,San Francisco Unified School District,70040
242,Argonne Elementary School,San Francisco,7,4,94121,1646500,San Francisco Unified School District,70040
243,Lafayette Elementary School,San Francisco,9,5,94121,1646500,San Francisco Unified School District,70040
244,Presidio Middle School,San Francisco,8,4,94121,1646500,San Francisco Unified School District,70040
245,Washington (George) High School,San Francisco,8,4,94121,1646500,San Francisco Unified School District,70040
247,Giannini (A.P.) Middle School,San Francisco,9,4,94122,1452500,San Francisco Unified School District,70040
248,Jefferson Elementary School,San Francisco,8,5,94122,1452500,San Francisco Unified School District,70040
249,Key (Francis Scott) Elementary School,San Francisco,9,5,94122,1452500,San Francisco Unified School District,70040
250,Lawton Alternative Elementary School,San Francisco,10,4,94122,1452500,San Francisco Unified School District,70040
251,Yu (Alice Fong) Elementary School,San Francisco,10,4,94122,1452500,San Francisco Unified School District,70040
252,Independence High School,San Francisco,3,5,94122,1452500,San Francisco Unified School District,70040
254,Lilienthal (Claire) Elementary School,San Francisco,10,4,94123,2322750,San Francisco Unified School District,70040
255,Marina Middle School,San Francisco,7,4,94123,2322750,San Francisco Unified School District,70040
256,Sherman Elementary School,San Francisco,7,4,94123,2322750,San Francisco Unified School District,70040
257,Carver (George Washington) Elementary School,San Francisco,2,3,94124,876666.6667,San Francisco Unified School District,70040
258,Drew (Charles) College Preparatory Academy,San Francisco,1,3,94124,876666.6667,San Francisco Unified School District,70040
259,Harte (Bret) Elementary School,San Francisco,1,3,94124,876666.6667,San Francisco Unified School District,70040
260,Malcolm X Academy,San Francisco,3,5,94124,876666.6667,San Francisco Unified School District,70040
261,Marshall (Thurgood) High School,San Francisco,3,4,94124,876666.6667,San Francisco Unified School District,70040
262,Aptos Middle School,San Francisco,7,4,94127,1787583.333,San Francisco Unified School District,70040
263,Miraloma Elementary School,San Francisco,8,5,94127,1787583.333,San Francisco Unified School District,70040
264,Sloat (Commodore) Elementary School,San Francisco,8,4,94127,1787583.333,San Francisco Unified School District,70040
265,West Portal Elementary School,San Francisco,9,5,94127,1787583.333,San Francisco Unified School District,70040
266,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.",San Francisco,9,4,94131,1642333.333,San Francisco Unified School District,70040
267,Clarendon Alternative Elementary School,San Francisco,8,5,94131,1642333.333,San Francisco Unified School District,70040
268,Fairmount Elementary School,San Francisco,2,4,94131,1642333.333,San Francisco Unified School District,70040
269,Glen Park Elementary School,San Francisco,4,4,94131,1642333.333,San Francisco Unified School District,70040
270,Mission Education Center,San Francisco,1,5,94131,1642333.333,San Francisco Unified School District,70040
271,Rooftop Elementary School,San Francisco,6,4,94131,1642333.333,San Francisco Unified School District,70040
272,Academy Of Arts And Sciences,San Francisco,4,2,94131,1642333.333,San Francisco Unified School District,70040
273,Lakeshore Alternative Elementary School,San Francisco,4,5,94132,1277833.333,San Francisco Unified School District,70040
274,Lowell High School,San Francisco,10,4,94132,1277833.333,San Francisco Unified School District,70040
275,Ortega (Jose) Elementary School,San Francisco,7,5,94132,1277833.333,San Francisco Unified School District,70040
276,Chin (John Yehall) Elementary School,San Francisco,9,4,94133,1557666.667,San Francisco Unified School District,70040
277,Francisco Middle School,San Francisco,7,4,94133,1557666.667,San Francisco Unified School District,70040
278,Garfield Elementary School,San Francisco,8,4,94133,1557666.667,San Francisco Unified School District,70040
279,Parker (Jean) Elementary School,San Francisco,6,4,94133,1557666.667,San Francisco Unified School District,70040
280,Yick Wo Elementary School,San Francisco,9,5,94133,1557666.667,San Francisco Unified School District,70040
281,Burton (Phillip And Sala) Academic High School,San Francisco,6,4,94134,972416.6667,San Francisco Unified School District,70040
282,El Dorado Elementary School,San Francisco,1,5,94134,972416.6667,San Francisco Unified School District,70040
283,Hillcrest Elementary School,San Francisco,4,4,94134,972416.6667,San Francisco Unified School District,70040
284,King Jr. (Martin Luther) Academic Middle School,San Francisco,4,3,94134,972416.6667,San Francisco Unified School District,70040
285,Taylor (Edward R.) Elementary School,San Francisco,6,4,94134,972416.6667,San Francisco Unified School District,70040
286,Visitacion Valley Elementary School,San Francisco,4,4,94134,972416.6667,San Francisco Unified School District,70040
287,Visitacion Valley Middle School,San Francisco,2,4,94134,972416.6667,San Francisco Unified School District,70040
288,Addison Elementary School,Santa Clara,7,5,94301,3515916.667,Palo Alto Unified School District,114178
289,Walter Hays Elementary School,Santa Clara,9,5,94301,3515916.667,Palo Alto Unified School District,114178
290,Palo Alto High School,Santa Clara,10,4,94301,3515916.667,Palo Alto Unified School District,114178
292,Duveneck Elementary School,Santa Clara,8,5,94303,1407500,Palo Alto Unified School District,114178
294,David Starr Jordan Middle School,Santa Clara,8,4,94303,1407500,Palo Alto Unified School District,114178
295,Ohlone Elementary School,Santa Clara,9,5,94303,1407500,Palo Alto Unified School District,114178
296,Palo Verde Elementary School,Santa Clara,9,5,94303,1407500,Palo Alto Unified School District,114178
297,Ronald Mcnair Academy,San Mateo,2,4,94303,1407500,Ravenswood City Elementary School District,48639
298,Cesar Chavez Elementary School,San Mateo,1,5,94303,1407500,Ravenswood City Elementary School District,48639
299,Costano Elementary School,San Mateo,2,4,94303,1407500,Ravenswood City Elementary School District,48639
300,Green Oaks Academy,San Mateo,3,5,94303,1407500,Ravenswood City Elementary School District,48639
301,Brentwood Academy,San Mateo,2,4,94303,1407500,Ravenswood City Elementary School District,48639
307,Barron Park Elementary School,Santa Clara,5,5,94306,2731083.333,Palo Alto Unified School District,114178
308,Juana Briones Elementary School,Santa Clara,9,5,94306,2731083.333,Palo Alto Unified School District,114178
309,El Carmelo Elementary School,Santa Clara,9,5,94306,2731083.333,Palo Alto Unified School District,114178
310,Fairmeadow Elementary School,Santa Clara,9,5,94306,2731083.333,Palo Alto Unified School District,114178
311,Henry M. Gunn High School,Santa Clara,10,4,94306,2731083.333,Palo Alto Unified School District,114178
312,Herbert Hoover Elementary School,Santa Clara,9,4,94306,2731083.333,Palo Alto Unified School District,114178
313,Jane Lathrop Stanford Middle School,Santa Clara,9,5,94306,2731083.333,Palo Alto Unified School District,114178
314,Terman Middle School,Santa Clara,8,4,94306,2731083.333,Palo Alto Unified School District,114178
318,San Mateo High School,San Mateo,7,4,94401,1118083.333,San Mateo Union High School District,87301
326,Aragon High School,San Mateo,9,4,94402,1981916.667,San Mateo Union High School District,87301
335,Hillsdale High School,San Mateo,8,4,94403,1539083.333,San Mateo Union High School District,87301
358,Discovery Bay Elementary School,Contra Costa,7,4,94505,597083.3333,Byron Union Elementary School District,96674
359,Timber Point Elementary School,Contra Costa,6,4,94505,597083.3333,Byron Union Elementary School District,96674
360,Sycamore Valley Elementary School,Contra Costa,10,4,94506,1337416.667,San Ramon Valley Unified School District,132355
361,Tassajara Hills Elementary School,Contra Costa,10,4,94506,1337416.667,San Ramon Valley Unified School District,132355
362,Diablo Vista Middle School,Contra Costa,9,4,94506,1337416.667,San Ramon Valley Unified School District,132355
363,Creekside Elementary School,Contra Costa,9,5,94506,1337416.667,San Ramon Valley Unified School District,132355
364,Alamo Elementary School,Contra Costa,9,4,94507,1698250,San Ramon Valley Unified School District,132355
365,Rancho Romero Elementary School,Contra Costa,9,4,94507,1698250,San Ramon Valley Unified School District,132355
366,Stone Valley Middle School,Contra Costa,10,3,94507,1698250,San Ramon Valley Unified School District,132355
368,Antioch High School,Contra Costa,3,3,94509,401416.6667,Antioch Unified School District,69167
369,Antioch Middle School,Contra Costa,1,3,94509,401416.6667,Antioch Unified School District,69167
370,Belshaw Elementary School,Contra Costa,2,4,94509,401416.6667,Antioch Unified School District,69167
371,Fremont Elementary School,Contra Costa,1,4,94509,401416.6667,Antioch Unified School District,69167
372,Kimball Elementary School,Contra Costa,2,3,94509,401416.6667,Antioch Unified School District,69167
374,Marsh Elementary School,Contra Costa,1,3,94509,401416.6667,Antioch Unified School District,69167
375,Mission Elementary School,Contra Costa,2,4,94509,401416.6667,Antioch Unified School District,69167
376,Muir (John) Elementary School,Contra Costa,3,4,94509,401416.6667,Antioch Unified School District,69167
377,Park Middle School,Contra Costa,3,4,94509,401416.6667,Antioch Unified School District,69167
378,Sutter Elementary School,Contra Costa,3,5,94509,401416.6667,Antioch Unified School District,69167
379,Turner Elementary School,Contra Costa,1,3,94509,401416.6667,Antioch Unified School District,69167
380,Prospects High (Alternative) School,Contra Costa,2,5,94509,401416.6667,Antioch Unified School District,69167
385,Brentwood Elementary School,Contra Costa,6,5,94513,597666.6667,Brentwood Union Elementary School District,89169
386,William B. Bristow Middle School,Contra Costa,7,3,94513,597666.6667,Brentwood Union Elementary School District,89169
387,Garin Elementary School,Contra Costa,7,4,94513,597666.6667,Brentwood Union Elementary School District,89169
388,Edna Hill Middle School,Contra Costa,6,4,94513,597666.6667,Brentwood Union Elementary School District,89169
389,Ron Nunn Elementary School,Contra Costa,7,4,94513,597666.6667,Brentwood Union Elementary School District,89169
391,Liberty High School,Contra Costa,7,4,94513,597666.6667,Liberty Union High School District,83673
392,Loma Vista Elementary School,Contra Costa,7,4,94513,597666.6667,Brentwood Union Elementary School District,89169
393,Independence High School,Contra Costa,2,5,94513,597666.6667,Liberty Union High School District,83673
394,R. Paul Krey Elementary School,Contra Costa,7,4,94513,597666.6667,Brentwood Union Elementary School District,89169
395,Heritage High School,Contra Costa,9,3,94513,597666.6667,Liberty Union High School District,83673
396,Marsh Creek Elementary School,Contra Costa,6,3,94513,597666.6667,Brentwood Union Elementary School District,89169
397,Pioneer Elementary School,Contra Costa,6,4,94513,597666.6667,Brentwood Union Elementary School District,89169
400,Adams (J. Douglas) Middle School,Contra Costa,8,4,94513,597666.6667,Brentwood Union Elementary School District,89169
449,Carquinez Middle School,Contra Costa,3,4,94525,535666.6667,John Swett Unified School District,68136
450,John Swett High School,Contra Costa,6,4,94525,535666.6667,John Swett Unified School District,68136
452,John Baldwin Elementary School,Contra Costa,9,4,94526,1224166.667,San Ramon Valley Unified School District,132355
454,Green Valley Elementary School,Contra Costa,9,4,94526,1224166.667,San Ramon Valley Unified School District,132355
455,Greenbrook Elementary School,Contra Costa,9,4,94526,1224166.667,San Ramon Valley Unified School District,132355
456,Los Cerros Middle School,Contra Costa,10,3,94526,1224166.667,San Ramon Valley Unified School District,132355
457,Montair Elementary School,Contra Costa,10,4,94526,1224166.667,San Ramon Valley Unified School District,132355
458,Monte Vista High School,Contra Costa,10,4,94526,1224166.667,San Ramon Valley Unified School District,132355
459,San Ramon Valley High School,Contra Costa,10,4,94526,1224166.667,San Ramon Valley Unified School District,132355
460,Vista Grande Elementary School,Contra Costa,8,4,94526,1224166.667,San Ramon Valley Unified School District,132355
461,Charlotte Wood Middle School,Contra Costa,9,5,94526,1224166.667,San Ramon Valley Unified School District,132355
462,El Cerrito Senior High School,Contra Costa,5,4,94530,942166.6667,West Contra Costa Unified School District,63932
463,Fairmont Elementary School,Contra Costa,4,4,94530,942166.6667,West Contra Costa Unified School District,63932
464,Harding Elementary School,Contra Costa,5,4,94530,942166.6667,West Contra Costa Unified School District,63932
465,Madera Elementary School,Contra Costa,7,4,94530,942166.6667,West Contra Costa Unified School District,63932
466,Fred T. Korematsu Middle School,Contra Costa,5,4,94530,942166.6667,West Contra Costa Unified School District,63932
467,Black Diamond Middle School,Contra Costa,1,3,94531,494166.6667,Antioch Unified School District,69167
468,Deer Valley High School,Contra Costa,5,3,94531,494166.6667,Antioch Unified School District,69167
469,Grant Elementary School,Contra Costa,2,4,94531,494166.6667,Antioch Unified School District,69167
470,Jack London Elementary School,Contra Costa,3,4,94531,494166.6667,Antioch Unified School District,69167
471,Diablo Vista Elementary School,Contra Costa,4,4,94531,494166.6667,Antioch Unified School District,69167
472,Lone Tree Elementary School,Contra Costa,3,4,94531,494166.6667,Antioch Unified School District,69167
473,Dallas Ranch Middle School,Contra Costa,3,4,94531,494166.6667,Antioch Unified School District,69167
474,Carmen Dragon Elementary School,Contra Costa,3,4,94531,494166.6667,Antioch Unified School District,69167
475,Dozier-Libbey Medical High School,Contra Costa,7,4,94531,494166.6667,Antioch Unified School District,69167
476,American High School,Alameda,10,4,94536,1035166.667,Fremont Unified School District,95022
477,Brookvale Elementary School,Alameda,7,4,94536,1035166.667,Fremont Unified School District,95022
478,Cabrillo Elementary School,Alameda,5,3,94536,1035166.667,Fremont Unified School District,95022
479,Centerville Junior High,Alameda,7,4,94536,1035166.667,Fremont Unified School District,95022
480,Glenmoor Elementary School,Alameda,7,4,94536,1035166.667,Fremont Unified School District,95022
481,Tom Maloney Elementary School,Alameda,7,4,94536,1035166.667,Fremont Unified School District,95022
482,John G. Mattos Elementary School,Alameda,6,4,94536,1035166.667,Fremont Unified School District,95022
483,Niles Elementary School,Alameda,8,4,94536,1035166.667,Fremont Unified School District,95022
484,Oliveira Elementary School,Alameda,7,4,94536,1035166.667,Fremont Unified School District,95022
485,Parkmont Elementary School,Alameda,9,4,94536,1035166.667,Fremont Unified School District,95022
486,Patterson Elementary School,Alameda,6,3,94536,1035166.667,Fremont Unified School District,95022
487,Thornton Junior High School,Alameda,8,3,94536,1035166.667,Fremont Unified School District,95022
488,Vallejo Mill Elementary School,Alameda,6,4,94536,1035166.667,Fremont Unified School District,95022
489,Washington High School,Alameda,8,4,94536,1035166.667,Fremont Unified School District,95022
491,Joseph Azevada Elementary School,Alameda,8,4,94538,969750,Fremont Unified School District,95022
492,John Blacow Elementary School,Alameda,5,3,94538,969750,Fremont Unified School District,95022
493,Brier Elementary School,Alameda,6,4,94538,969750,Fremont Unified School District,95022
494,J. Haley Durham Elementary School,Alameda,7,4,94538,969750,Fremont Unified School District,95022
495,Harvey Green Elementary School,Alameda,9,4,94538,969750,Fremont Unified School District,95022
