id,name,county,gsRating,parentRating,zip,price,district,income
37,Franklin Delano Roosevelt Elementary School,San Mateo,4,4,94015,1004833.333,Jefferson Elementary School District,0
38,Marjorie H. Tobias Elementary School,San Mateo,8,5,94015,1004833.333,Jefferson Elementary School District,0
39,Daniel Webster Elementary School,San Mateo,4,4,94015,1004833.333,Jefferson Elementary School District,0
40,Westlake Elementary School,San Mateo,5,5,94015,1004833.333,Jefferson Elementary School District,0
41,Westmoor High School,San Mateo,8,4,94015,1004833.333,Jefferson Union High School District,75479
42,Junipero Serra Elementary School,San Mateo,7,4,94015,1004833.333,South San Francisco Unified School District,75205
43,Skyline Elementary School,San Mateo,6,4,94015,1004833.333,South San Francisco Unified School District,75205
44,Adult Education Division,San Mateo,0,0,94015,1004833.333,Jefferson Union High School District,75479
45,Manuel F. Cunha Intermediate School,San Mateo,5,4,94019,1213500,Cabrillo Unified School District,106250
46,El Granada Elementary School,San Mateo,5,5,94019,1213500,Cabrillo Unified School District,106250
47,Half Moon Bay High School,San Mateo,8,3,94019,1213500,Cabrillo Unified School District,106250
48,Alvin S. Hatch Elementary School,San Mateo,4,4,94019,1213500,Cabrillo Unified School District,106250
49,Pilarcitos Alternative High (Continuation) School,San Mateo,0,5,94019,1213500,Cabrillo Unified School District,106250
50,La Costa Adult,San Mateo,0,0,94019,1213500,Cabrillo Unified School District,106250
51,La Honda Elementary School,San Mateo,0,4,94020,0,La Honda-Pescadero Unified School District,120967
52,Almond Elementary School,Santa Clara,9,4,94022,3580416.667,Los Altos Elementary School District,138869
53,Ardis G. Egan Junior High School,Santa Clara,9,4,94022,3580416.667,Los Altos Elementary School District,138869
54,Santa Rita Elementary School,Santa Clara,8,5,94022,3580416.667,Los Altos Elementary School District,138869
55,Los Altos High School,Santa Clara,9,4,94022,3580416.667,Mountain View-Los Altos Union High School District,0
56,Gardner Bullis Elementary School,Santa Clara,9,5,94022,3580416.667,Los Altos Elementary School District,138869
57,Montclaire Elementary School,Santa Clara,9,5,94024,3311750,Cupertino Union School District,0
58,Georgina P. Blach Junior High School,Santa Clara,10,5,94024,3311750,Los Altos Elementary School District,138869
59,Loyola Elementary School,Santa Clara,9,4,94024,3311750,Los Altos Elementary School District,138869
60,Oak Avenue Elementary School,Santa Clara,9,5,94024,3311750,Los Altos Elementary School District,138869
61,Covington Elementary School,Santa Clara,9,5,94024,3311750,Los Altos Elementary School District,138869
62,La Entrada Middle School,San Mateo,9,4,94025,2301250,Las Lomitas Elementary School District,136950
63,Hillview Middle School,San Mateo,8,4,94025,2301250,Menlo Park City Elementary School District,125442
64,Oak Knoll Elementary School,San Mateo,9,5,94025,2301250,Menlo Park City Elementary School District,125442
65,Belle Haven Elementary School,San Mateo,2,2,94025,2301250,Ravenswood City Elementary School District,48639
66,Willow Oaks Elementary School,San Mateo,1,3,94025,2301250,Ravenswood City Elementary School District,48639
67,Garfield Elementary School,San Mateo,2,3,94025,2301250,Redwood City Elementary School District,73031
68,Menlo-Atherton High School,San Mateo,8,4,94025,2301250,Sequoia Union High School District,88025
69,Sequoia District Adult Education,San Mateo,0,0,94025,2301250,Sequoia Union High School District,88025
70,Las Lomitas Elementary School,San Mateo,0,5,94027,6166666.667,Las Lomitas Elementary School District,136950
71,Encinal Elementary School,San Mateo,8,5,94027,6166666.667,Menlo Park City Elementary School District,125442
72,Laurel Elementary School,San Mateo,8,4,94027,6166666.667,Menlo Park City Elementary School District,125442
73,Selby Lane Elementary School,San Mateo,5,4,94027,6166666.667,Redwood City Elementary School District,73031
74,Corte Madera School,San Mateo,9,4,94028,3360583.333,Portola Valley Elementary School District,177083
75,Ormondale Elementary School,San Mateo,0,5,94028,3360583.333,Portola Valley Elementary School District,177083
76,Green Hills Elementary School,San Mateo,9,4,94030,1674166.667,Millbrae Elementary School District,0
77,Meadows Elementary School,San Mateo,7,4,94030,1674166.667,Millbrae Elementary School District,0
78,Spring Valley Elementary School,San Mateo,7,4,94030,1674166.667,Millbrae Elementary School District,0
79,Taylor Middle School,San Mateo,7,5,94030,1674166.667,Millbrae Elementary School District,0
80,Mills High School,San Mateo,9,4,94030,1674166.667,San Mateo Union High School District,87301
81,Farallone View Elementary School,San Mateo,4,4,94037,1219250,Cabrillo Unified School District,106250
82,Springer Elementary School,Santa Clara,9,5,94040,2089583.333,Los Altos Elementary School District,138869
83,Benjamin Bubb Elementary School,Santa Clara,7,4,94040,2089583.333,Mountain View Whisman  School District,0
84,Mariano Castro Elementary School,Santa Clara,6,4,94040,2089583.333,Mountain View Whisman  School District,0
85,Isaac Newton Graham Middle School,Santa Clara,7,4,94040,2089583.333,Mountain View Whisman  School District,0
86,Alta Vista High School,Santa Clara,0,5,94040,2089583.333,Mountain View-Los Altos Union High School District,0
87,Mountain View High School,Santa Clara,9,5,94040,2089583.333,Mountain View-Los Altos Union High School District,0
88,Frank L. Huff Elementary School,Santa Clara,9,4,94040,2089583.333,Mountain View Whisman  School District,0
89,Gabriela Mistral Elementary,Santa Clara,7,0,94040,2089583.333,Mountain View Whisman  School District,0
90,Edith Landels Elementary School,Santa Clara,8,4,94041,1965333.333,Mountain View Whisman  School District,0
91,Crittenden Middle School,Santa Clara,6,4,94043,1470666.667,Mountain View Whisman  School District,0
92,Monta Loma Elementary School,Santa Clara,7,4,94043,1470666.667,Mountain View Whisman  School District,0
93,Theuerkauf Elementary School,Santa Clara,6,4,94043,1470666.667,Mountain View Whisman  School District,0
94,Adult Education,Santa Clara,0,0,94043,1470666.667,Mountain View-Los Altos Union High School District,0
95,Stevenson Elementary School,Santa Clara,9,5,94043,1470666.667,Mountain View Whisman  School District,0
96,Independent Study Program School,Santa Clara,0,0,94043,1470666.667,Mountain View Whisman  School District,0
97,Mvwsd Home & Hospital,Santa Clara,0,0,94043,1470666.667,Mountain View Whisman  School District,0
98,Oceana High School,San Mateo,7,4,94044,1061833.333,Jefferson Union High School District,75479
99,Terra Nova High School,San Mateo,8,4,94044,1061833.333,Jefferson Union High School District,75479
100,Cabrillo Elementary School,San Mateo,7,5,94044,1061833.333,Pacifica School District,0
101,Ocean Shore Elementary School,San Mateo,8,5,94044,1061833.333,Pacifica School District,0
102,Vallemar Elementary School,San Mateo,8,5,94044,1061833.333,Pacifica School District,0
103,Sunset Ridge Elementary School,San Mateo,4,4,94044,1061833.333,Pacifica School District,0
104,Ingrid B. Lacy Middle School,San Mateo,7,4,94044,1061833.333,Pacifica School District,0
105,Ortega Elementary School,San Mateo,7,5,94044,1061833.333,Pacifica School District,0
106,Pacifica Independent Home Study,San Mateo,0,0,94044,1061833.333,Pacifica School District,0
107,Pescadero Elementary And Middle School,San Mateo,3,4,94060,0,La Honda-Pescadero Unified School District,120967
108,Pescadero High School,San Mateo,4,3,94060,0,La Honda-Pescadero Unified School District,120967
109,Adelante Spanish Immersion School,San Mateo,5,5,94061,1584916.667,Redwood City Elementary School District,73031
110,Roy Cloud Elementary School,San Mateo,8,4,94061,1584916.667,Redwood City Elementary School District,73031
111,Henry Ford Elementary School,San Mateo,5,4,94061,1584916.667,Redwood City Elementary School District,73031
112,Hawes Elementary School,San Mateo,5,4,94061,1584916.667,Redwood City Elementary School District,73031
113,Roosevelt Elementary School,San Mateo,6,5,94061,1584916.667,Redwood City Elementary School District,73031
114,Kings Mountain Elementary School,San Mateo,8,5,94062,2147750,Cabrillo Unified School District,106250
115,Clifford Elementary School,San Mateo,7,4,94062,2147750,Redwood City Elementary School District,73031
116,John Gill Elementary School,San Mateo,6,4,94062,2147750,Redwood City Elementary School District,73031
117,Mckinley Institute Of Technology,San Mateo,4,4,94062,2147750,Redwood City Elementary School District,73031
118,North Star Academy,San Mateo,10,4,94062,2147750,Redwood City Elementary School District,73031
119,Sequoia High School,San Mateo,6,4,94062,2147750,Sequoia Union High School District,88025
120,Woodside High School,San Mateo,7,4,94062,2147750,Sequoia Union High School District,88025
121,Woodside Elementary School,San Mateo,9,5,94062,2147750,Woodside Elementary School District,197250
122,Canyon Oaks Youth Center,San Mateo,0,0,94062,2147750,San Mateo County Office Of Education School District,0
123,Fair Oaks Elementary School,San Mateo,3,5,94063,1214000,Redwood City Elementary School District,73031
124,Hoover Elementary School,San Mateo,5,5,94063,1214000,Redwood City Elementary School District,73031
125,Taft Elementary School,San Mateo,4,3,94063,1214000,Redwood City Elementary School District,73031
126,Redwood High School,San Mateo,0,5,94063,1214000,Sequoia Union High School District,88025
127,Orion Alternative School,San Mateo,6,5,94063,1214000,Redwood City Elementary School District,73031
128,Sandpiper Elementary School,San Mateo,9,4,94065,1419416.667,Belmont-Redwood Shores Elementary School District,102348
129,San Mateo County Special Education School,San Mateo,1,2,94065,1419416.667,San Mateo County Office Of Education School District,0
130,San Mateo County Rop School,San Mateo,0,0,94065,1419416.667,San Mateo County Rop School District,0
131,Redwood Shores Elementary School,San Mateo,8,5,94065,1419416.667,Belmont-Redwood Shores Elementary School District,102348
132,Lomita Park Elementary School,San Mateo,5,5,94066,1037250,Millbrae Elementary School District,0
133,Allen (Decima M.) Elementary School,San Mateo,5,4,94066,1037250,San Bruno Park Elementary School District,74689
134,Belle Air Elementary School,San Mateo,1,4,94066,1037250,San Bruno Park Elementary School District,74689
135,El Crystal Elementary School,San Mateo,7,4,94066,1037250,San Bruno Park Elementary School District,74689
136,John Muir Elementary School,San Mateo,8,5,94066,1037250,San Bruno Park Elementary School District,74689
137,Parkside Intermediate School,San Mateo,5,3,94066,1037250,San Bruno Park Elementary School District,74689
138,Rollingwood Elementary School,San Mateo,5,4,94066,1037250,San Bruno Park Elementary School District,74689
139,Capuchino High School,San Mateo,7,4,94066,1037250,San Mateo Union High School District,87301
140,Monte Verde Elementary School,San Mateo,9,4,94066,1037250,South San Francisco Unified School District,75205
141,Portola Elementary School,San Mateo,6,5,94066,1037250,San Bruno Park Elementary School District,74689
142,Peninsula High,San Mateo,2,0,94066,1037250,San Mateo Union High School District,87301
143,Peninsula High (Continuation),San Mateo,0,0,94066,1037250,San Mateo Union High School District,87301
144,Central Middle School,San Mateo,10,4,94070,1865416.667,San Carlos Elementary School District,104457
145,Arroyo,San Mateo,0,0,94070,1865416.667,San Carlos Elementary School District,104457
146,Alta Loma Middle School,San Mateo,6,3,94080,1024666.667,South San Francisco Unified School District,75205
147,Baden High (Continuation) School,San Mateo,0,3,94080,1024666.667,South San Francisco Unified School District,75205
148,Buri Buri Elementary School,San Mateo,6,5,94080,1024666.667,South San Francisco Unified School District,75205
149,El Camino High School,San Mateo,8,4,94080,1024666.667,South San Francisco Unified School District,75205
150,Hillside Elementary,San Mateo,0,5,94080,1024666.667,South San Francisco Unified School District,75205
151,Los Cerritos Elementary School,San Mateo,3,4,94080,1024666.667,South San Francisco Unified School District,75205
152,Martin Elementary School,San Mateo,3,3,94080,1024666.667,South San Francisco Unified School District,75205
153,Parkway Heights Middle School,San Mateo,4,3,94080,1024666.667,South San Francisco Unified School District,75205
154,Ponderosa Elementary School,San Mateo,7,4,94080,1024666.667,South San Francisco Unified School District,75205
155,South San Francisco High School,San Mateo,6,4,94080,1024666.667,South San Francisco Unified School District,75205
156,Spruce Elementary School,San Mateo,3,3,94080,1024666.667,South San Francisco Unified School District,75205
157,Sunshine Gardens Elementary School,San Mateo,3,4,94080,1024666.667,South San Francisco Unified School District,75205
158,Westborough Middle School,San Mateo,8,4,94080,1024666.667,South San Francisco Unified School District,75205
159,South San Francisco Adult,San Mateo,0,0,94080,1024666.667,South San Francisco Unified School District,75205
160,Community Day,San Mateo,0,0,94080,1024666.667,South San Francisco Unified School District,75205
161,Bishop Elementary School,Santa Clara,5,4,94085,1352333.333,Sunnyvale School District,0
162,Columbia Middle School,Santa Clara,4,3,94085,1352333.333,Sunnyvale School District,0
163,San Miguel Elementary School,Santa Clara,3,4,94085,1352333.333,Sunnyvale School District,0
164,Braly Elementary School,Santa Clara,6,4,94086,1592166.667,Santa Clara Unified School District,84441
165,Ponderosa Elementary School,Santa Clara,7,4,94086,1592166.667,Santa Clara Unified School District,84441
166,Ellis Elementary School,Santa Clara,5,4,94086,1592166.667,Sunnyvale School District,0
167,Vargas Elementary School,Santa Clara,4,4,94086,1592166.667,Sunnyvale School District,0
168,Cupertino Middle School,Santa Clara,8,4,94087,2059416.667,Cupertino Union School District,0
169,Chester W. Nimitz Elementary School,Santa Clara,6,4,94087,2059416.667,Cupertino Union School District,0
170,Louis E. Stocklmeir Elementary School,Santa Clara,9,4,94087,2059416.667,Cupertino Union School District,0
171,West Valley Elementary School,Santa Clara,9,4,94087,2059416.667,Cupertino Union School District,0
172,Fremont High School,Santa Clara,7,4,94087,2059416.667,Fremont Union High School District,100428
173,Marian A. Peterson Middle School,Santa Clara,7,4,94087,2059416.667,Santa Clara Unified School District,84441
174,Cherry Chase Elementary School,Santa Clara,9,5,94087,2059416.667,Sunnyvale School District,0
175,Cumberland Elementary School,Santa Clara,9,4,94087,2059416.667,Sunnyvale School District,0
176,Sunnyvale Middle School,Santa Clara,7,4,94087,2059416.667,Sunnyvale School District,0
177,Community Day School,Santa Clara,0,0,94087,2059416.667,Fremont Union High School District,100428
178,Adult And Community Education,Santa Clara,0,0,94087,2059416.667,Fremont Union High School District,100428
179,North County Regional Occupational Program School,Santa Clara,0,0,94087,2059416.667,North County Regional Occupational Center Program (Roc P) School District,0
180,Fairwood Elementary School,Santa Clara,7,4,94089,1351583.333,Sunnyvale School District,0
181,Lakewood Elementary School,Santa Clara,4,4,94089,1351583.333,Sunnyvale School District,0
182,Tenderloin Community,San Francisco,3,4,94102,892833.3333,San Francisco Unified School District,70040
183,S.F. County Civic Center Secondary,San Francisco,0,1,94102,892833.3333,San Francisco County Office Of Education School District,0
184,Carmichael (Bessie)/Fec,San Francisco,3,4,94103,935416.6667,San Francisco Unified School District,70040
185,Marshall Elementary School,San Francisco,3,4,94103,935416.6667,San Francisco Unified School District,70040
186,Downtown High School,San Francisco,0,5,94107,1184500,San Francisco Unified School District,70040
187,King (Starr) Elementary School,San Francisco,5,4,94107,1184500,San Francisco Unified School District,70040
188,Daniel Webster Elementary School,San Francisco,3,4,94107,1184500,San Francisco Unified School District,70040
189,Lau (Gordon J.) Elementary School,San Francisco,7,5,94108,1061833.333,San Francisco Unified School District,70040
190,Galileo High School,San Francisco,8,5,94109,1159916.667,San Francisco Unified School District,70040
191,Redding Elementary School,San Francisco,6,4,94109,1159916.667,San Francisco Unified School District,70040
192,Spring Valley Elementary School,San Francisco,5,5,94109,1159916.667,San Francisco Unified School District,70040
193,Bryant Elementary School,San Francisco,3,4,94110,1485833.333,San Francisco Unified School District,70040
194,Chavez (Cesar) Elementary School,San Francisco,1,3,94110,1485833.333,San Francisco Unified School District,70040
195,Flynn (Leonard R.) Elementary School,San Francisco,2,4,94110,1485833.333,San Francisco Unified School District,70040
196,Buena Vista/ Horace Mann K-8,San Francisco,3,4,94110,1485833.333,San Francisco Unified School District,70040
197,Moscone (George R.) Elementary School,San Francisco,5,4,94110,1485833.333,San Francisco Unified School District,70040
198,O'connell (John) High School,San Francisco,2,4,94110,1485833.333,San Francisco Unified School District,70040
199,Revere (Paul) Elementary School,San Francisco,1,4,94110,1485833.333,San Francisco Unified School District,70040
200,Serra (Junipero) Elementary School,San Francisco,5,5,94110,1485833.333,San Francisco Unified School District,70040
201,S.F. County Opportunity (Hilltop) School,San Francisco,0,1,94110,1485833.333,San Francisco County Office Of Education School District,0
202,S.F. International High School,San Francisco,2,4,94110,1485833.333,San Francisco Unified School District,70040
203,Chinese Education Center,San Francisco,0,5,94111,1196916.667,San Francisco Unified School District,70040
204,Balboa High School,San Francisco,7,4,94112,1143333.333,San Francisco Unified School District,70040
205,Cleveland Elementary School,San Francisco,2,4,94112,1143333.333,San Francisco Unified School District,70040
206,Denman (James) Middle School,San Francisco,4,4,94112,1143333.333,San Francisco Unified School District,70040
207,Guadalupe Elementary School,San Francisco,3,4,94112,1143333.333,San Francisco Unified School District,70040
208,Longfellow Elementary School,San Francisco,4,4,94112,1143333.333,San Francisco Unified School District,70040
209,Monroe Elementary School,San Francisco,5,4,94112,1143333.333,San Francisco Unified School District,70040
210,San Francisco Community Alternative School,San Francisco,3,4,94112,1143333.333,San Francisco Unified School District,70040
211,Sheridan Elementary School,San Francisco,3,4,94112,1143333.333,San Francisco Unified School District,70040
212,Sunnyside Elementary School,San Francisco,6,4,94112,1143333.333,San Francisco Unified School District,70040
213,Jordan (June) School For Equity,San Francisco,2,4,94112,1143333.333,San Francisco Unified School District,70040
214,Alvarado Elementary School,San Francisco,6,4,94114,1774000,San Francisco Unified School District,70040
215,Everett Middle School,San Francisco,4,3,94114,1774000,San Francisco Unified School District,70040
216,Lick (James) Middle School,San Francisco,2,4,94114,1774000,San Francisco Unified School District,70040
217,McKinley Elementary School,San Francisco,7,5,94114,1774000,San Francisco Unified School District,70040
218,Milk (Harvey) Civil Rights Elementary School,San Francisco,2,4,94114,1774000,San Francisco Unified School District,70040
219,Mission High School,San Francisco,2,4,94114,1774000,San Francisco Unified School District,70040
220,Sanchez Elementary School,San Francisco,1,4,94114,1774000,San Francisco Unified School District,70040
221,Cobb (William L.) Elementary School,San Francisco,2,5,94115,1505416.667,San Francisco Unified School District,70040
222,Parks (Rosa) Elementary School,San Francisco,4,5,94115,1505416.667,San Francisco Unified School District,70040
223,Wallenberg (Raoul) Traditional High School,San Francisco,8,3,94115,1505416.667,San Francisco Unified School District,70040
224,San Francisco Public Montessori School,San Francisco,6,4,94115,1505416.667,San Francisco Unified School District,70040
225,Hoover (Herbert) Middle School,San Francisco,6,4,94116,1461666.667,San Francisco Unified School District,70040
226,Lincoln (Abraham) High School,San Francisco,8,5,94116,1461666.667,San Francisco Unified School District,70040
227,Stevenson (Robert Louis) Elementary School,San Francisco,10,4,94116,1461666.667,San Francisco Unified School District,70040
228,Sunset Elementary School,San Francisco,10,5,94116,1461666.667,San Francisco Unified School District,70040
229,Ulloa Elementary School,San Francisco,10,3,94116,1461666.667,San Francisco Unified School District,70040
230,S.F. County Special Education School,San Francisco,0,0,94116,1461666.667,San Francisco County Office Of Education School District,0
231,Feinstein (Dianne) Elementary School,San Francisco,7,4,94116,1461666.667,San Francisco Unified School District,70040
232,Grattan Elementary School,San Francisco,8,5,94117,1589166.667,San Francisco Unified School District,70040
233,Muir (John) Elementary School,San Francisco,4,4,94117,1589166.667,San Francisco Unified School District,70040
234,New Traditions Elementary School,San Francisco,9,4,94117,1589166.667,San Francisco Unified School District,70040
235,Wells (Ida B.) High School,San Francisco,0,5,94117,1589166.667,San Francisco Unified School District,70040
236,Chinese Immersion School At Deavila,San Francisco,10,5,94117,1589166.667,San Francisco Unified School District,70040
237,Mccoppin (Frank) Elementary School,San Francisco,7,4,94118,1910583.333,San Francisco Unified School District,70040
238,Peabody (George) Elementary School,San Francisco,9,5,94118,1910583.333,San Francisco Unified School District,70040
239,Roosevelt Middle School,San Francisco,9,4,94118,1910583.333,San Francisco Unified School District,70040
240,Sutro Elementary School,San Francisco,8,5,94118,1910583.333,San Francisco Unified School District,70040
241,Alamo Elementary School,San Francisco,8,5,94121,1646500,San Francisco Unified School District,70040
242,Argonne Elementary School,San Francisco,7,4,94121,1646500,San Francisco Unified School District,70040
243,Lafayette Elementary School,San Francisco,9,5,94121,1646500,San Francisco Unified School District,70040
244,Presidio Middle School,San Francisco,8,4,94121,1646500,San Francisco Unified School District,70040
245,Washington (George) High School,San Francisco,8,4,94121,1646500,San Francisco Unified School District,70040
246,San Francisco County Rop School,San Francisco,0,0,94121,1646500,San Francisco County Rop School District,0
247,Giannini (A.P.) Middle School,San Francisco,9,4,94122,1452500,San Francisco Unified School District,70040
248,Jefferson Elementary School,San Francisco,8,5,94122,1452500,San Francisco Unified School District,70040
249,Key (Francis Scott) Elementary School,San Francisco,9,5,94122,1452500,San Francisco Unified School District,70040
250,Lawton Alternative Elementary School,San Francisco,10,4,94122,1452500,San Francisco Unified School District,70040
251,Yu (Alice Fong) Elementary School,San Francisco,10,4,94122,1452500,San Francisco Unified School District,70040
252,Independence High School,San Francisco,3,5,94122,1452500,San Francisco Unified School District,70040
253,Brown Jr. (Willie L) Middle,San Francisco,1,0,94122,1452500,San Francisco Unified School District,70040
254,Lilienthal (Claire) Elementary School,San Francisco,10,4,94123,2322750,San Francisco Unified School District,70040
255,Marina Middle School,San Francisco,7,4,94123,2322750,San Francisco Unified School District,70040
256,Sherman Elementary School,San Francisco,7,4,94123,2322750,San Francisco Unified School District,70040
257,Carver (George Washington) Elementary School,San Francisco,2,3,94124,876666.6667,San Francisco Unified School District,70040
258,Drew (Charles) College Preparatory Academy,San Francisco,1,3,94124,876666.6667,San Francisco Unified School District,70040
259,Harte (Bret) Elementary School,San Francisco,1,3,94124,876666.6667,San Francisco Unified School District,70040
260,Malcolm X Academy,San Francisco,3,5,94124,876666.6667,San Francisco Unified School District,70040
261,Marshall (Thurgood) High School,San Francisco,3,4,94124,876666.6667,San Francisco Unified School District,70040
262,Aptos Middle School,San Francisco,7,4,94127,1787583.333,San Francisco Unified School District,70040
263,Miraloma Elementary School,San Francisco,8,5,94127,1787583.333,San Francisco Unified School District,70040
264,Sloat (Commodore) Elementary School,San Francisco,8,4,94127,1787583.333,San Francisco Unified School District,70040
265,West Portal Elementary School,San Francisco,9,5,94127,1787583.333,San Francisco Unified School District,70040
266,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.",San Francisco,9,4,94131,1642333.333,San Francisco Unified School District,70040
267,Clarendon Alternative Elementary School,San Francisco,8,5,94131,1642333.333,San Francisco Unified School District,70040
268,Fairmount Elementary School,San Francisco,2,4,94131,1642333.333,San Francisco Unified School District,70040
269,Glen Park Elementary School,San Francisco,4,4,94131,1642333.333,San Francisco Unified School District,70040
270,Mission Education Center,San Francisco,1,5,94131,1642333.333,San Francisco Unified School District,70040
271,Rooftop Elementary School,San Francisco,6,4,94131,1642333.333,San Francisco Unified School District,70040
272,Academy Of Arts And Sciences,San Francisco,4,2,94131,1642333.333,San Francisco Unified School District,70040
273,Lakeshore Alternative Elementary School,San Francisco,4,5,94132,1277833.333,San Francisco Unified School District,70040
274,Lowell High School,San Francisco,10,4,94132,1277833.333,San Francisco Unified School District,70040
275,Ortega (Jose) Elementary School,San Francisco,7,5,94132,1277833.333,San Francisco Unified School District,70040
276,Chin (John Yehall) Elementary School,San Francisco,9,4,94133,1557666.667,San Francisco Unified School District,70040
277,Francisco Middle School,San Francisco,7,4,94133,1557666.667,San Francisco Unified School District,70040
278,Garfield Elementary School,San Francisco,8,4,94133,1557666.667,San Francisco Unified School District,70040
279,Parker (Jean) Elementary School,San Francisco,6,4,94133,1557666.667,San Francisco Unified School District,70040
280,Yick Wo Elementary School,San Francisco,9,5,94133,1557666.667,San Francisco Unified School District,70040
281,Burton (Phillip And Sala) Academic High School,San Francisco,6,4,94134,972416.6667,San Francisco Unified School District,70040
282,El Dorado Elementary School,San Francisco,1,5,94134,972416.6667,San Francisco Unified School District,70040
283,Hillcrest Elementary School,San Francisco,4,4,94134,972416.6667,San Francisco Unified School District,70040
284,King Jr. (Martin Luther) Academic Middle School,San Francisco,4,3,94134,972416.6667,San Francisco Unified School District,70040
285,Taylor (Edward R.) Elementary School,San Francisco,6,4,94134,972416.6667,San Francisco Unified School District,70040
286,Visitacion Valley Elementary School,San Francisco,4,4,94134,972416.6667,San Francisco Unified School District,70040
287,Visitacion Valley Middle School,San Francisco,2,4,94134,972416.6667,San Francisco Unified School District,70040
288,Addison Elementary School,Santa Clara,7,5,94301,3515916.667,Palo Alto Unified School District,114178
289,Walter Hays Elementary School,Santa Clara,9,5,94301,3515916.667,Palo Alto Unified School District,114178
290,Palo Alto High School,Santa Clara,10,4,94301,3515916.667,Palo Alto Unified School District,114178
291,Palo Alto Adult Education,Santa Clara,0,0,94301,3515916.667,Palo Alto Unified School District,114178
292,Duveneck Elementary School,Santa Clara,8,5,94303,1407500,Palo Alto Unified School District,114178
293,Greendell School,Santa Clara,0,0,94303,1407500,Palo Alto Unified School District,114178
294,David Starr Jordan Middle School,Santa Clara,8,4,94303,1407500,Palo Alto Unified School District,114178
295,Ohlone Elementary School,Santa Clara,9,5,94303,1407500,Palo Alto Unified School District,114178
296,Palo Verde Elementary School,Santa Clara,9,5,94303,1407500,Palo Alto Unified School District,114178
297,Ronald Mcnair Academy,San Mateo,2,4,94303,1407500,Ravenswood City Elementary School District,48639
